customer_id,customer_zip_code_prefix,customer_city,customer_state
I74lXDOfoqsp,6020,goiania,GO
47TuLHF2s7X5,23020,viamao,RS
dQ0dqI8Qwlj8,75094,campinas,SP
iQCmWhNkIczb,89284,santana de parnaiba,SP
Dp2g6JH8tO5Z,39810,aripuana,MT
s18Fn5Tz7Jml,65790,sao jose do rio preto,SP
9rXAwNe0G0m5,25245,sao bento do sul,SC
o3yCAPMIPtLj,97560,sao paulo,SP
PHGrixjXAt4t,32430,barueri,SP
K6lNXbhXbvwg,8571,divinopolis,MG
WaitNYVtRT2x,8664,sao paulo,SP
WDjs7f3Yv8Va,26155,sao paulo,SP
ViMUFfeZLwv5,60120,rio de janeiro,RJ
ZdAOMosp5YDg,73805,guarulhos,SP
jVsS0bHgLHcJ,75440,palmas,TO
D1KiQOWblWjh,45037,presidente prudente,SP
I1orDozbJsZY,3953,brasilia,DF
bincH34GAiat,13213,criciuma,SC
J534NgM03SXi,33935,guarulhos,SP
11rzNuxGsM6E,7916,anapolis,GO
